geography,variable,metric,data_year,estimate,geography_type,moe,share,share_moe,grouping
Kitsap County,3 or more vehicles available,Vehicle Availability,2019,55924,PSRC Region,0,0.43885021933094254,0,All
Kitsap County,3 or more vehicles available,Vehicle Availability,2021,53998,PSRC Region,0,0.44629765850352504,0,All
Kitsap County,3 or more vehicles available,Vehicle Availability,2020,50885,PSRC Region,0,0.4164109362597075,0,All
Kitsap County,Total Households,Vehicle Availability,2010,109726,PSRC Region,0,1,0,All
Kitsap County,Total Households,Vehicle Availability,2011,108791,PSRC Region,0,1,0,All
Kitsap County,Total Households,Vehicle Availability,2012,108815,PSRC Region,0,1,0,All
Kitsap County,Total Households,Vehicle Availability,2013,117344,PSRC Region,0,1,0,All
Kitsap County,Total Households,Vehicle Availability,2014,114142,PSRC Region,0,1,0,All
Kitsap County,Total Households,Vehicle Availability,2015,115555,PSRC Region,0,1,0,All
Kitsap County,Total Households,Vehicle Availability,2016,117750,PSRC Region,0,1,0,All
Kitsap County,Total Households,Vehicle Availability,2017,122301,PSRC Region,0,1,0,All
Kitsap County,Total Households,Vehicle Availability,2018,128666,PSRC Region,0,1,0,All
Kitsap County,Total Households,Vehicle Availability,2019,127433,PSRC Region,0,1,0,All
Kitsap County,Total Households,Vehicle Availability,2021,120991,PSRC Region,0,1,0,All
Kitsap County,Total Households,Vehicle Availability,2020,122199,PSRC Region,0,1,0,All
Pierce County,0 vehicles available,Vehicle Availability,2010,5297,PSRC Region,0,0.015220870724607698,0,All
Pierce County,0 vehicles available,Vehicle Availability,2011,5559,PSRC Region,0,0.01600642675742446,0,All
Pierce County,0 vehicles available,Vehicle Availability,2012,6837,PSRC Region,0,0.018700561263005875,0,All
Pierce County,0 vehicles available,Vehicle Availability,2013,9296,PSRC Region,0,0.02551729059955751,0,All
Pierce County,0 vehicles available,Vehicle Availability,2014,8792,PSRC Region,0,0.023475945966874138,0,All
Pierce County,0 vehicles available,Vehicle Availability,2015,8131,PSRC Region,0,0.021442793285776446,0,All
Pierce County,0 vehicles available,Vehicle Availability,2016,8972,PSRC Region,0,0.022979614940335475,0,All
Pierce County,0 vehicles available,Vehicle Availability,2017,8014,PSRC Region,0,0.01966707813577499,0,All
Pierce County,0 vehicles available,Vehicle Availability,2018,6396,PSRC Region,0,0.015022759621753408,0,All
Pierce County,0 vehicles available,Vehicle Availability,2019,7645,PSRC Region,0,0.01764749334035078,0,All
Pierce County,0 vehicles available,Vehicle Availability,2021,7095,PSRC Region,0,0.016075458360144644,0,All
Pierce County,0 vehicles available,Vehicle Availability,2020,9122,PSRC Region,0,0.021680487323736116,0,All
Pierce County,1 vehicle available,Vehicle Availability,2010,66289,PSRC Region,0,0.19048070595875394,0,All
Pierce County,1 vehicle available,Vehicle Availability,2011,69050,PSRC Region,0,0.19882060939020668,0,All
Pierce County,1 vehicle available,Vehicle Availability,2012,64982,PSRC Region,0,0.17773875559348365,0,All
Pierce County,1 vehicle available,Vehicle Availability,2013,67294,PSRC Region,0,0.18472036936387942,0,All
Pierce County,1 vehicle available,Vehicle Availability,2014,69552,PSRC Region,0,0.18571417127934828,0,All
Pierce County,1 vehicle available,Vehicle Availability,2015,69046,PSRC Region,0,0.18208573425282507,0,All
Pierce County,1 vehicle available,Vehicle Availability,2016,72337,PSRC Region,0,0.18527378577118225,0,All
Pierce County,1 vehicle available,Vehicle Availability,2017,68175,PSRC Region,0,0.16730759320020713,0,All
Pierce County,1 vehicle available,Vehicle Availability,2018,65885,PSRC Region,0,0.1547489865039436,0,All
Pierce County,1 vehicle available,Vehicle Availability,2019,74228,PSRC Region,0,0.17134573390026916,0,All
Pierce County,1 vehicle available,Vehicle Availability,2021,71708,PSRC Region,0,0.16247201805345346,0,All
Pierce County,1 vehicle available,Vehicle Availability,2020,67402,PSRC Region,0,0.1601960322949421,0,All
Pierce County,2 vehicles available,Vehicle Availability,2010,147516,PSRC Region,0,0.42388558916579744,0,All
Pierce County,2 vehicles available,Vehicle Availability,2011,145278,PSRC Region,0,0.41830934816785587,0,All
Pierce County,2 vehicles available,Vehicle Availability,2012,164144,PSRC Region,0,0.4489666415028282,0,All
Pierce County,2 vehicles available,Vehicle Availability,2013,148514,PSRC Region,0,0.40766726507128703,0,All
Pierce County,2 vehicles available,Vehicle Availability,2014,151818,PSRC Region,0,0.40537661110087553,0,All
Pierce County,2 vehicles available,Vehicle Availability,2015,154545,PSRC Region,0,0.4075607537019212,0,All
Pierce County,2 vehicles available,Vehicle Availability,2016,153029,PSRC Region,0,0.39194688973524267,0,All
Pierce County,2 vehicles available,Vehicle Availability,2017,159764,PSRC Region,0,0.392075252219111,0,All
Pierce County,2 vehicles available,Vehicle Availability,2018,172045,PSRC Region,0,0.40409485289627345,0,All
Pierce County,2 vehicles available,Vehicle Availability,2019,168515,PSRC Region,0,0.38899507393711075,0,All
Pierce County,2 vehicles available,Vehicle Availability,2021,173490,PSRC Region,0,0.3930840410009154,0,All
Pierce County,2 vehicles available,Vehicle Availability,2020,169341,PSRC Region,0,0.40247702300907673,0,All
Pierce County,3 or more vehicles available,Vehicle Availability,2010,128907,PSRC Region,0,0.3704128341508409,0,All
Pierce County,3 or more vehicles available,Vehicle Availability,2011,127411,PSRC Region,0,0.366863615684513,0,All
Pierce County,3 or more vehicles available,Vehicle Availability,2012,129641,PSRC Region,0,0.35459404164068226,0,All
Pierce County,3 or more vehicles available,Vehicle Availability,2013,139198,PSRC Region,0,0.38209507496527606,0,All
Pierce County,3 or more vehicles available,Vehicle Availability,2014,144349,PSRC Region,0,0.38543327165290203,0,All
Pierce County,3 or more vehicles available,Vehicle Availability,2015,147473,PSRC Region,0,0.38891071875947736,0,All
Pierce County,3 or more vehicles available,Vehicle Availability,2016,156095,PSRC Region,0,0.3997997095532396,0,All
Pierce County,3 or more vehicles available,Vehicle Availability,2017,171530,PSRC Region,0,0.4209500764449069,0,All
Pierce County,3 or more vehicles available,Vehicle Availability,2018,181428,PSRC Region,0,0.4261334009780296,0,All
Pierce County,3 or more vehicles available,Vehicle Availability,2019,182818,PSRC Region,0,0.4220116988222693,0,All
Pierce County,3 or more vehicles available,Vehicle Availability,2021,189063,PSRC Region,0,0.42836848258548654,0,All
Pierce County,3 or more vehicles available,Vehicle Availability,2020,174882,PSRC Region,0,0.4156464573722451,0,All
Pierce County,Total Households,Vehicle Availability,2010,348009,PSRC Region,0,1,0,All
Pierce County,Total Households,Vehicle Availability,2011,347298,PSRC Region,0,1,0,All
Pierce County,Total Households,Vehicle Availability,2012,365604,PSRC Region,0,1,0,All
Pierce County,Total Households,Vehicle Availability,2013,364302,PSRC Region,0,1,0,All
Pierce County,Total Households,Vehicle Availability,2014,374511,PSRC Region,0,1,0,All
Pierce County,Total Households,Vehicle Availability,2015,379195,PSRC Region,0,1,0,All
Pierce County,Total Households,Vehicle Availability,2016,390433,PSRC Region,0,1,0,All
Pierce County,Total Households,Vehicle Availability,2017,407483,PSRC Region,0,1,0,All
Pierce County,Total Households,Vehicle Availability,2018,425754,PSRC Region,0,1,0,All
Pierce County,Total Households,Vehicle Availability,2019,433206,PSRC Region,0,1,0,All
Pierce County,Total Households,Vehicle Availability,2021,441356,PSRC Region,0,1,0,All
Pierce County,Total Households,Vehicle Availability,2020,420747,PSRC Region,0,1,0,All
Region,0 vehicles available,Vehicle Availability,2010,62353,PSRC Region,0,0.03543363914095034,0,All
Region,0 vehicles available,Vehicle Availability,2011,55519,PSRC Region,0,0.031005011599165886,0,All
Region,0 vehicles available,Vehicle Availability,2012,64036,PSRC Region,0,0.03450953679208322,0,All
Region,0 vehicles available,Vehicle Availability,2013,71571,PSRC Region,0,0.03801609433511274,0,All
Region,0 vehicles available,Vehicle Availability,2014,79620,PSRC Region,0,0.0410201984033962,0,All
Region,0 vehicles available,Vehicle Availability,2015,70312,PSRC Region,0,0.035447323830904286,0,All
Region,0 vehicles available,Vehicle Availability,2016,76950,PSRC Region,0,0.03765229730390957,0,All
Region,0 vehicles available,Vehicle Availability,2017,74852,PSRC Region,0,0.03555154480039897,0,All
Region,0 vehicles available,Vehicle Availability,2018,91086,PSRC Region,0,0.041917608884033286,0,All
Region,0 vehicles available,Vehicle Availability,2019,97030,PSRC Region,0,0.04387109142395444,0,All
Region,0 vehicles available,Vehicle Availability,2021,86252,PSRC Region,0,0.040186498301955975,0,All
Region,0 vehicles available,Vehicle Availability,2020,91473,PSRC Region,0,0.042653365457922275,0,All
Region,1 vehicle available,Vehicle Availability,2010,392981,PSRC Region,0,0.22332120256041899,0,All
Region,1 vehicle available,Vehicle Availability,2011,397664,PSRC Region,0,0.2220785124474631,0,All
Region,1 vehicle available,Vehicle Availability,2012,405608,PSRC Region,0,0.21858554874075975,0,All
Region,1 vehicle available,Vehicle Availability,2013,415211,PSRC Region,0,0.22054603882824741,0,All
Region,1 vehicle available,Vehicle Availability,2014,407039,PSRC Region,0,0.20970636194323014,0,All
Region,1 vehicle available,Vehicle Availability,2015,425862,PSRC Region,0,0.2146954747593094,0,All
Region,1 vehicle available,Vehicle Availability,2016,426986,PSRC Region,0,0.20892792484219797,0,All
Region,1 vehicle available,Vehicle Availability,2017,453736,PSRC Region,0,0.21550547388919233,0,All
Region,1 vehicle available,Vehicle Availability,2018,454557,PSRC Region,0,0.20918629143336537,0,All
Region,1 vehicle available,Vehicle Availability,2019,458749,PSRC Region,0,0.2074185233396648,0,All
Region,1 vehicle available,Vehicle Availability,2021,487756,PSRC Region,0,0.22725508586199555,0,All
Region,1 vehicle available,Vehicle Availability,2020,450421,PSRC Region,0,0.21002887762424768,0,All
Region,2 vehicles available,Vehicle Availability,2010,729100,PSRC Region,0,0.4143291629539379,0,All
Region,2 vehicles available,Vehicle Availability,2011,741045,PSRC Region,0,0.4138422669807433,0,All
Region,2 vehicles available,Vehicle Availability,2012,767731,PSRC Region,0,0.41373666673313203,0,All
Region,2 vehicles available,Vehicle Availability,2013,783763,PSRC Region,0,0.4163083950814012,0,All
Region,2 vehicles available,Vehicle Availability,2014,793647,PSRC Region,0,0.40888667925471217,0,All
Region,2 vehicles available,Vehicle Availability,2015,805886,PSRC Region,0,0.4062820288541377,0,All
Region,2 vehicles available,Vehicle Availability,2016,826303,PSRC Region,0,0.40431716983901744,0,All
Region,2 vehicles available,Vehicle Availability,2017,843491,PSRC Region,0,0.40062266973806077,0,All
Region,2 vehicles available,Vehicle Availability,2018,853444,PSRC Region,0,0.3927533517381914,0,All
Region,2 vehicles available,Vehicle Availability,2019,885842,PSRC Region,0,0.40052412005749405,0,All
Region,2 vehicles available,Vehicle Availability,2021,829540,PSRC Region,0,0.3864989542434327,0,All
Region,2 vehicles available,Vehicle Availability,2020,852916,PSRC Region,0,0.3977101205045121,0,All
Region,3 or more vehicles available,Vehicle Availability,2010,575278,PSRC Region,0,0.32691599534469273,0,All
Region,3 or more vehicles available,Vehicle Availability,2011,596418,PSRC Region,0,0.33307420897262774,0,All
Region,3 or more vehicles available,Vehicle Availability,2012,618228,PSRC Region,0,0.333168247734025,0,All
Region,3 or more vehicles available,Vehicle Availability,2013,612105,PSRC Region,0,0.32512947175523865,0,All
Region,3 or more vehicles available,Vehicle Availability,2014,660689,PSRC Region,0,0.3403867603986615,0,All
Region,3 or more vehicles available,Vehicle Availability,2015,681503,PSRC Region,0,0.3435751725556486,0,All
Region,3 or more vehicles available,Vehicle Availability,2016,713461,PSRC Region,0,0.34910260801487497,0,All
Region,3 or more vehicles available,Vehicle Availability,2017,733371,PSRC Region,0,0.348320311572348,0,All
Region,3 or more vehicles available,Vehicle Availability,2018,773890,PSRC Region,0,0.3561427479444099,0,All
Region,3 or more vehicles available,Vehicle Availability,2019,770086,PSRC Region,0,0.34818626517888673,0,All
Region,3 or more vehicles available,Vehicle Availability,2021,742745,PSRC Region,0,0.34605946159261575,0,All
Region,3 or more vehicles available,Vehicle Availability,2020,749757,PSRC Region,0,0.34960763641331793,0,All
Region,Total Households,Vehicle Availability,2010,1759712,PSRC Region,0,1,0,All
Region,Total Households,Vehicle Availability,2011,1790646,PSRC Region,0,1,0,All
Region,Total Households,Vehicle Availability,2012,1855603,PSRC Region,0,1,0,All
Region,Total Households,Vehicle Availability,2013,1882650,PSRC Region,0,1,0,All
Region,Total Households,Vehicle Availability,2014,1940995,PSRC Region,0,1,0,All
Region,Total Households,Vehicle Availability,2015,1983563,PSRC Region,0,1,0,All
Region,Total Households,Vehicle Availability,2016,2043700,PSRC Region,0,1,0,All
Region,Total Households,Vehicle Availability,2017,2105450,PSRC Region,0,1,0,All
Region,Total Households,Vehicle Availability,2018,2172977,PSRC Region,0,1,0,All
Region,Total Households,Vehicle Availability,2019,2211707,PSRC Region,0,1,0,All
Region,Total Households,Vehicle Availability,2021,2146293,PSRC Region,0,1,0,All
Region,Total Households,Vehicle Availability,2020,2144567,PSRC Region,0,1,0,All
Snohomish County,0 vehicles available,Vehicle Availability,2010,7551,PSRC Region,0,0.02253007590585764,0,All
Snohomish County,0 vehicles available,Vehicle Availability,2011,7095,PSRC Region,0,0.02082636185913806,0,All
Snohomish County,0 vehicles available,Vehicle Availability,2012,5528,PSRC Region,0,0.015702850260483243,0,All
Snohomish County,0 vehicles available,Vehicle Availability,2013,7213,PSRC Region,0,0.01985919874892279,0,All
Snohomish County,0 vehicles available,Vehicle Availability,2014,7811,PSRC Region,0,0.020981632006188924,0,All
Snohomish County,0 vehicles available,Vehicle Availability,2015,7437,PSRC Region,0,0.019382430974360043,0,All
Snohomish County,0 vehicles available,Vehicle Availability,2016,6486,PSRC Region,0,0.01648682655278911,0,All
Snohomish County,0 vehicles available,Vehicle Availability,2017,5797,PSRC Region,0,0.01431167202397705,0,All
Snohomish County,0 vehicles available,Vehicle Availability,2018,7347,PSRC Region,0,0.017719198813414206,0,All
Snohomish County,0 vehicles available,Vehicle Availability,2019,7155,PSRC Region,0,0.017239717610775123,0,All
Snohomish County,0 vehicles available,Vehicle Availability,2021,7615,PSRC Region,0,0.01860598079051596,0,All
Snohomish County,0 vehicles available,Vehicle Availability,2020,7016,PSRC Region,0,0.017206790501930122,0,All
Snohomish County,1 vehicle available,Vehicle Availability,2010,59950,PSRC Region,0,0.17887406311166276,0,All
Snohomish County,1 vehicle available,Vehicle Availability,2011,58261,PSRC Region,0,0.17101686656451623,0,All
Snohomish County,1 vehicle available,Vehicle Availability,2012,60677,PSRC Region,0,0.17235923394633534,0,All
Snohomish County,1 vehicle available,Vehicle Availability,2013,62660,PSRC Region,0,0.17251870145674505,0,All
Snohomish County,1 vehicle available,Vehicle Availability,2014,55013,PSRC Region,0,0.14777397536249792,0,All
Snohomish County,1 vehicle available,Vehicle Availability,2015,63420,PSRC Region,0,0.16528624074141643,0,All
Snohomish County,1 vehicle available,Vehicle Availability,2016,57738,PSRC Region,0,0.14676478438250656,0,All
Snohomish County,1 vehicle available,Vehicle Availability,2017,62614,PSRC Region,0,0.15458185822137296,0,All
Snohomish County,1 vehicle available,Vehicle Availability,2018,63046,PSRC Region,0,0.15205180459922582,0,All
Snohomish County,1 vehicle available,Vehicle Availability,2019,60293,PSRC Region,0,0.14527383562634028,0,All
Snohomish County,1 vehicle available,Vehicle Availability,2021,68566,PSRC Region,0,0.16752957043762537,0,All
Snohomish County,1 vehicle available,Vehicle Availability,2020,59615,PSRC Region,0,0.14620621661524577,0,All
Snohomish County,2 vehicles available,Vehicle Availability,2010,136316,PSRC Region,0,0.40672888719148326,0,All
Snohomish County,2 vehicles available,Vehicle Availability,2011,140101,PSRC Region,0,0.41124652893969016,0,All
Snohomish County,2 vehicles available,Vehicle Availability,2012,145543,PSRC Region,0,0.41342980019202474,0,All
Snohomish County,2 vehicles available,Vehicle Availability,2013,151169,PSRC Region,0,0.4162061854534742,0,All
Snohomish County,2 vehicles available,Vehicle Availability,2014,152216,PSRC Region,0,0.4088772369036043,0,All
Snohomish County,2 vehicles available,Vehicle Availability,2015,151976,PSRC Region,0,0.39608233558684175,0,All
Snohomish County,2 vehicles available,Vehicle Availability,2016,155760,PSRC Region,0,0.39592786060167,0,All
Snohomish County,2 vehicles available,Vehicle Availability,2017,168253,PSRC Region,0,0.41538412162328975,0,All
Snohomish County,2 vehicles available,Vehicle Availability,2018,163247,PSRC Region,0,0.3937125423565304,0,All
Snohomish County,2 vehicles available,Vehicle Availability,2019,173812,PSRC Region,0,0.41879382213333977,0,All
Snohomish County,2 vehicles available,Vehicle Availability,2021,164138,PSRC Region,0,0.40104379185734845,0,All
Snohomish County,2 vehicles available,Vehicle Availability,2020,164859,PSRC Region,0,0.40431788417299,0,All
Snohomish County,3 or more vehicles available,Vehicle Availability,2010,131335,PSRC Region,0,0.39186697379099633,0,All
Snohomish County,3 or more vehicles available,Vehicle Availability,2011,135217,PSRC Region,0,0.3969102426366556,0,All
Snohomish County,3 or more vehicles available,Vehicle Availability,2012,140290,PSRC Region,0,0.3985081156011567,0,All
Snohomish County,3 or more vehicles available,Vehicle Availability,2013,142165,PSRC Region,0,0.391415914340858,0,All
Snohomish County,3 or more vehicles available,Vehicle Availability,2014,157238,PSRC Region,0,0.4223671557277089,0,All
Snohomish County,3 or more vehicles available,Vehicle Availability,2015,160865,PSRC Region,0,0.4192489926973818,0,All
Snohomish County,3 or more vehicles available,Vehicle Availability,2016,173421,PSRC Region,0,0.44082052846303427,0,All
Snohomish County,3 or more vehicles available,Vehicle Availability,2017,168390,PSRC Region,0,0.4157223481313603,0,All
Snohomish County,3 or more vehicles available,Vehicle Availability,2018,180995,PSRC Region,0,0.4365164542308295,0,All
Snohomish County,3 or more vehicles available,Vehicle Availability,2019,173770,PSRC Region,0,0.4186926246295449,0,All
Snohomish County,3 or more vehicles available,Vehicle Availability,2021,168958,PSRC Region,0,0.4128206569145102,0,All
Snohomish County,3 or more vehicles available,Vehicle Availability,2020,176256,PSRC Region,0,0.43226910870983404,0,All
Snohomish County,Total Households,Vehicle Availability,2010,335152,PSRC Region,0,1,0,All
Snohomish County,Total Households,Vehicle Availability,2011,340674,PSRC Region,0,1,0,All
Snohomish County,Total Households,Vehicle Availability,2012,352038,PSRC Region,0,1,0,All
Snohomish County,Total Households,Vehicle Availability,2013,363207,PSRC Region,0,1,0,All
Snohomish County,Total Households,Vehicle Availability,2014,372278,PSRC Region,0,1,0,All
Snohomish County,Total Households,Vehicle Availability,2015,383698,PSRC Region,0,1,0,All
Snohomish County,Total Households,Vehicle Availability,2016,393405,PSRC Region,0,1,0,All
Snohomish County,Total Households,Vehicle Availability,2017,405054,PSRC Region,0,1,0,All
Snohomish County,Total Households,Vehicle Availability,2018,414635,PSRC Region,0,1,0,All
Snohomish County,Total Households,Vehicle Availability,2019,415030,PSRC Region,0,1,0,All
Snohomish County,Total Households,Vehicle Availability,2021,409277,PSRC Region,0,1,0,All
Snohomish County,Total Households,Vehicle Availability,2020,407746,PSRC Region,0,1,0,All
Atlanta,0 vehicles available,Vehicle Availability,2021,821821,Metro Regions,0,0.025042611422375145,0,All
Atlanta,1 vehicle available,Vehicle Availability,2021,6797373,Metro Regions,0,0.20713022754583346,0,All
Atlanta,2 vehicles available,Vehicle Availability,2021,13621311,Metro Regions,0,0.41506994641938355,0,All
Atlanta,3 or more vehicles available,Vehicle Availability,2021,11576400,Metro Regions,0,0.35275721461240783,0,All
Atlanta,Total Households,Vehicle Availability,2021,32816905,Metro Regions,0,1,0,All
Austin,0 vehicles available,Vehicle Availability,2021,146328,Metro Regions,0,0.019424899362963977,0,All
Austin,1 vehicle available,Vehicle Availability,2021,1871076,Metro Regions,0,0.24838351511984846,0,All
Austin,2 vehicles available,Vehicle Availability,2021,3414456,Metro Regions,0,0.45326570566992325,0,All
Austin,3 or more vehicles available,Vehicle Availability,2021,2101152,Metro Regions,0,0.2789258798472643,0,All
Austin,Total Households,Vehicle Availability,2021,7533012,Metro Regions,0,1,0,All
Baltimore,0 vehicles available,Vehicle Availability,2021,360899,Metro Regions,0,0.037096731253943915,0,All
Baltimore,1 vehicle available,Vehicle Availability,2021,2124325,Metro Regions,0,0.21835891377098415,0,All
Baltimore,2 vehicles available,Vehicle Availability,2021,4038041,Metro Regions,0,0.4150693733410371,0,All
Baltimore,3 or more vehicles available,Vehicle Availability,2021,3205328,Metro Regions,0,0.3294749816340348,0,All
Baltimore,Total Households,Vehicle Availability,2021,9728593,Metro Regions,0,1,0,All
Bay Area,0 vehicles available,Vehicle Availability,2021,754708,Metro Regions,0,0.05854008758968728,0,All
Bay Area,1 vehicle available,Vehicle Availability,2021,3087767,Metro Regions,0,0.23950739973148016,0,All
Bay Area,2 vehicles available,Vehicle Availability,2021,4801109,Metro Regions,0,0.37240540896298424,0,All
Bay Area,3 or more vehicles available,Vehicle Availability,2021,4248573,Metro Regions,0,0.32954710371584833,0,All
Bay Area,Total Households,Vehicle Availability,2021,12892157,Metro Regions,0,1,0,All
Boston,0 vehicles available,Vehicle Availability,2021,845225,Metro Regions,0,0.06698820370405595,0,All
Boston,1 vehicle available,Vehicle Availability,2021,3145100,Metro Regions,0,0.249264514738237,0,All
Boston,2 vehicles available,Vehicle Availability,2021,5147190,Metro Regions,0,0.407939912122192,0,All
Boston,3 or more vehicles available,Vehicle Availability,2021,3480005,Metro Regions,0,0.27580736943551504,0,All
Boston,Total Households,Vehicle Availability,2021,12617520,Metro Regions,0,1,0,All
Charlotte,0 vehicles available,Vehicle Availability,2021,76356,Metro Regions,0,0.01919604675472774,0,All
Charlotte,1 vehicle available,Vehicle Availability,2021,821355,Metro Regions,0,0.20649024283919276,0,All
Charlotte,2 vehicles available,Vehicle Availability,2021,1649898,Metro Regions,0,0.4147875628442007,0,All
Charlotte,3 or more vehicles available,Vehicle Availability,2021,1430085,Metro Regions,0,0.35952614756187884,0,All
Charlotte,Total Households,Vehicle Availability,2021,3977694,Metro Regions,0,1,0,All
Chicago,0 vehicles available,Vehicle Availability,2021,1906240,Metro Regions,0,0.059824765633976214,0,All
Chicago,1 vehicle available,Vehicle Availability,2021,7830844,Metro Regions,0,0.2457604535715486,0,All
Chicago,2 vehicles available,Vehicle Availability,2021,12704111,Metro Regions,0,0.39870135091227715,0,All
Chicago,3 or more vehicles available,Vehicle Availability,2021,9422532,Metro Regions,0,0.295713429882198,0,All
Chicago,Total Households,Vehicle Availability,2021,31863727,Metro Regions,0,1,0,All
Dallas,0 vehicles available,Vehicle Availability,2021,1276848,Metro Regions,0,0.02090164964913788,0,All
Dallas,1 vehicle available,Vehicle Availability,2021,12511328,Metro Regions,0,0.20480698916507598,0,All
Dallas,2 vehicles available,Vehicle Availability,2021,26051024,Metro Regions,0,0.42644807890154696,0,All
Dallas,3 or more vehicles available,Vehicle Availability,2021,21249184,Metro Regions,0,0.34784328228423916,0,All
Dallas,Total Households,Vehicle Availability,2021,61088384,Metro Regions,0,1,0,All
Denver,0 vehicles available,Vehicle Availability,2021,339767,Metro Regions,0,0.02618579896678589,0,All
Denver,1 vehicle available,Vehicle Availability,2021,2620612,Metro Regions,0,0.2019702296042485,0,All
Denver,2 vehicles available,Vehicle Availability,2021,5503431,Metro Regions,0,0.4241487189561595,0,All
Denver,3 or more vehicles available,Vehicle Availability,2021,4511429,Metro Regions,0,0.3476952524728061,0,All
Denver,Total Households,Vehicle Availability,2021,12975239,Metro Regions,0,1,0,All
Detroit,0 vehicles available,Vehicle Availability,2021,266026,Metro Regions,0,0.02630902547740528,0,All
Detroit,1 vehicle available,Vehicle Availability,2021,2194059,Metro Regions,0,0.21698463356938927,0,All
Detroit,2 vehicles available,Vehicle Availability,2021,4398017,Metro Regions,0,0.43494824304038526,0,All
Detroit,3 or more vehicles available,Vehicle Availability,2021,3253485,Metro Regions,0,0.32175809791282023,0,All
Detroit,Total Households,Vehicle Availability,2021,10111587,Metro Regions,0,1,0,All
Houston,0 vehicles available,Vehicle Availability,2021,1422200,Metro Regions,0,0.03324651959994773,0,All
Houston,1 vehicle available,Vehicle Availability,2021,9011678,Metro Regions,0,0.21066441376418069,0,All
Houston,2 vehicles available,Vehicle Availability,2021,18425290,Metro Regions,0,0.43072476804930454,0,All
Houston,3 or more vehicles available,Vehicle Availability,2021,13918242,Metro Regions,0,0.32536429858656707,0,All
Houston,Total Households,Vehicle Availability,2021,42777410,Metro Regions,0,1,0,All
Los Angeles,0 vehicles available,Vehicle Availability,2021,512596,Metro Regions,0,0.03129849212872805,0,All
Los Angeles,1 vehicle available,Vehicle Availability,2021,3031681,Metro Regions,0,0.18511077713309193,0,All
Los Angeles,2 vehicles available,Vehicle Availability,2021,6054513,Metro Regions,0,0.3696812450229453,0,All
Los Angeles,3 or more vehicles available,Vehicle Availability,2021,6778868,Metro Regions,0,0.4139094857152347,0,All
Los Angeles,Total Households,Vehicle Availability,2021,16377658,Metro Regions,0,1,0,All
Miami,0 vehicles available,Vehicle Availability,2021,290346,Metro Regions,0,0.033343829865228665,0,All
Miami,1 vehicle available,Vehicle Availability,2021,2192571,Metro Regions,0,0.25179859337285265,0,All
Miami,2 vehicles available,Vehicle Availability,2021,3721455,Metro Regions,0,0.4273782396558056,0,All
Miami,3 or more vehicles available,Vehicle Availability,2021,2503266,Metro Regions,0,0.28747933710611306,0,All
Miami,Total Households,Vehicle Availability,2021,8707638,Metro Regions,0,1,0,All
Minneapolis,0 vehicles available,Vehicle Availability,2021,381738,Metro Regions,0,0.028344531538709822,0,All
Minneapolis,1 vehicle available,Vehicle Availability,2021,2417303,Metro Regions,0,0.17948781919043394,0,All
Minneapolis,2 vehicles available,Vehicle Availability,2021,6004026,Metro Regions,0,0.4458065592532936,0,All
Minneapolis,3 or more vehicles available,Vehicle Availability,2021,4664716,Metro Regions,0,0.34636109001756266,0,All
Minneapolis,Total Households,Vehicle Availability,2021,13467783,Metro Regions,0,1,0,All
New York City,0 vehicles available,Vehicle Availability,2021,19290780,Metro Regions,0,0.2125144700087999,0,All
New York City,1 vehicle available,Vehicle Availability,2021,25132610,Metro Regions,0,0.27687026103080664,0,All
New York City,2 vehicles available,Vehicle Availability,2021,26330920,Metro Regions,0,0.29007129357361955,0,All
New York City,3 or more vehicles available,Vehicle Availability,2021,20019650,Metro Regions,0,0.22054397538677392,0,All
New York City,Total Households,Vehicle Availability,2021,90773960,Metro Regions,0,1,0,All
Newark,0 vehicles available,Vehicle Availability,2021,23160422,Metro Regions,0,0.21183508752334007,0,All
Newark,1 vehicle available,Vehicle Availability,2021,30234539,Metro Regions,0,0.2765379756592017,0,All
Newark,2 vehicles available,Vehicle Availability,2021,31771536,Metro Regions,0,0.2905960050862178,0,All
Newark,3 or more vehicles available,Vehicle Availability,2021,24165825,Metro Regions,0,0.22103093173124047,0,All
Newark,Total Households,Vehicle Availability,2021,109332322,Metro Regions,0,1,0,All
Orlando,0 vehicles available,Vehicle Availability,2021,94470,Metro Regions,0,0.02473583168637259,0,All
Orlando,1 vehicle available,Vehicle Availability,2021,861654,Metro Regions,0,0.2256137219846479,0,All
Orlando,2 vehicles available,Vehicle Availability,2021,1683057,Metro Regions,0,0.44068820440956064,0,All
Orlando,3 or more vehicles available,Vehicle Availability,2021,1179975,Metro Regions,0,0.30896224191941885,0,All
Orlando,Total Households,Vehicle Availability,2021,3819156,Metro Regions,0,1,0,All
Philadelphia,0 vehicles available,Vehicle Availability,2021,1417707,Metro Regions,0,0.05926734683801675,0,All
Philadelphia,1 vehicle available,Vehicle Availability,2021,5608450,Metro Regions,0,0.23446167041121688,0,All
Philadelphia,2 vehicles available,Vehicle Availability,2021,9817446,Metro Regions,0,0.410419062010345,0,All
Philadelphia,3 or more vehicles available,Vehicle Availability,2021,7076938,Metro Regions,0,0.2958519207404214,0,All
Philadelphia,Total Households,Vehicle Availability,2021,23920541,Metro Regions,0,1,0,All
Phoenix,0 vehicles available,Vehicle Availability,2021,104432,Metro Regions,0,0.022485438465188825,0,All
